MQ2,MQ7,MQ135,Quality
786,215,776,59
2,165,334,48
920,191,906,76
498,431,762,8
112,454,201,51
837,898,207,86
748,800,480,63
890,461,731,98
602,282,345,90
638,462,888,95
338,185,294,52
566,729,344,60
66,990,389,66
546,516,635,51
1,92,486,40
758,413,679,9
315,407,548,46
974,521,703,11
872,620,780,53
533,167,935,71
825,880,785,34
609,772,507,67
367,1,619,55
405,847,618,5
558,541,98,13
834,608,547,90
780,695,536,37
840,239,546,63
163,700,798,11
961,894,766,27
270,267,835,45
655,493,557,36
79,622,24,57
661,450,191,10
363,671,558,2
36,594,55,52
366,247,27,99
933,383,313,72
283,524,413,12
830,708,982,39
355,405,607,94
493,440,503,29
20,207,209,18
201,519,899,30
866,1000,571,90
374,310,445,42
911,422,971,20
634,593,222,74
74,853,918,42
194,577,194,24
32,423,397,11
192,230,72,28
385,152,697,85
511,604,886,96
664,642,181,88
8,621,956,72
877,999,325,74
332,919,939,21
76,806,132,62
13,119,426,86
721,907,578,51
579,427,986,97
828,88,39,20
88,168,990,8
869,628,828,9
589,134,198,95
999,322,609,100
396,506,753,67
572,520,398,13
334,796,433,8
683,711,681,91
865,464,706,6
471,549,12,19
399,136,660,60
346,892,597,12
50,561,280,48
558,726,597,68
143,985,306,39
320,415,766,93
719,19,27,11
473,812,37,94
86,777,365,49
971,670,442,47
383,283,972,71
844,481,221,81
10,692,736,24
586,546,535,18
981,640,731,83
502,166,371,3
929,263,428,36
77,519,743,86
652,560,154,85
300,203,924,5
266,345,291,91
214,187,938,8
736,217,502,50
598,539,274,96
889,675,719,45
152,590,942,27
866,68,45,86
118,610,970,97
336,192,613,54
971,115,485,81
99,817,57,65
925,417,922,87
19,694,492,32
770,465,861,68
514,625,785,84
276,646,685,58
845,404,412,6
341,534,715,27
663,82,3,78
43,903,74,72
482,900,910,95
584,146,61,15
946,442,151,32
375,876,46,77
940,85,71,1
316,787,731,33
877,39,521,28
336,267,20,44
448,846,220,46
306,543,303,86
833,69,358,70
272,927,140,74
994,885,720,78
254,162,601,3
980,809,548,58
882,748,156,62
825,872,161,4
891,344,588,68
119,993,404,71
57,908,179,23
51,613,172,35
308,488,550,43
178,741,654,25
824,965,693,49
891,897,578,14
865,887,741,33
407,527,119,67
781,358,943,72
997,550,174,70
316,280,455,60
649,686,685,58
629,165,927,61
36,678,234,93
377,354,776,78
317,452,631,94
294,852,151,12
1000,884,673,39
317,645,754,18
603,423,471,67
735,479,784,91
432,630,433,50
611,820,215,93
680,925,941,47
527,29,324,15
775,23,312,31
944,812,720,64
181,906,257,20
442,129,602,56
469,252,681,44
472,311,87,29
337,415,777,43
390,472,191,74
423,45,16,36
59,586,777,89
740,464,874,34
873,614,868,29
68,579,189,91
408,269,618,6
312,948,528,57
277,53,572,61
802,397,96,68
46,202,435,3
743,448,296,44
314,139,715,9
398,206,478,94
262,167,156,40
882,855,87,26
273,917,529,18
840,108,405,24
875,748,653,15
84,220,895,52
887,515,441,56
509,739,485,31
937,435,767,94
738,511,301,42
213,185,870,69
370,881,243,6
282,108,382,18
87,676,429,4
296,665,769,23
544,473,556,92
850,543,661,25
945,486,905,38
69,11,231,44
831,983,528,66
251,510,514,41
486,579,641,98
400,867,345,2
134,697,828,52
945,297,465,41
761,605,198,100
267,687,496,32
645,916,831,87
242,617,507,7
880,507,555,55
901,663,758,46
939,847,501,58
997,857,451,75
455,1000,487,2
397,766,615,23
576,797,920,57
619,204,102,44
346,532,166,16
254,681,49,78
398,693,800,44
168,151,369,1
812,342,269,6
359,829,675,58
279,682,503,90
532,271,783,22
48,23,71,74
723,358,526,74
90,944,253,49
144,642,349,69
577,769,448,23
541,134,982,63
321,967,880,63
679,130,402,45
236,931,664,6
142,926,733,63
42,77,340,36
16,522,168,24
800,655,98,39
855,701,479,33
187,465,968,95
436,352,836,19
718,50,697,57
360,498,923,78
254,867,872,27
67,829,643,17
809,108,279,12
976,360,416,95
671,893,344,72
971,903,538,6
804,249,544,17
567,99,443,54
665,792,430,80
248,478,686,77
773,535,990,63
929,447,527,73
954,291,6,11
349,575,571,61
602,960,559,24
168,332,175,91
378,711,383,46
462,592,758,15
219,783,178,14
6,516,139,86
605,547,128,86
793,224,115,87
888,815,994,50
979,210,179,19
411,50,45,82
54,435,749,85
703,903,914,27
465,808,220,17
323,466,49,91
474,570,217,6
386,70,546,9
555,391,787,7
673,736,526,2
952,818,355,82
182,185,827,4
420,473,136,97
153,889,176,63
997,69,459,53
809,467,696,70
699,671,974,79
456,747,597,60
873,194,569,93
432,582,260,25
850,500,856,63
706,934,558,96
86,92,846,13
82,215,910,45
631,379,355,56
546,141,130,9
817,183,205,51
24,892,470,72
496,338,119,61
634,919,580,90
644,599,519,36
669,924,440,34
820,167,87,61
525,620,756,76
384,28,655,88
345,64,878,86
909,29,354,48
986,870,823,73
937,537,260,19
33,845,303,29
15,288,649,91
559,533,930,60
209,221,902,27
415,25,852,38
558,187,750,73
729,150,916,98
954,757,701,43
607,86,429,57
603,179,944,88
304,87,115,38
208,147,136,93
594,129,727,12
827,404,382,6
835,601,623,52
991,82,993,16
334,20,398,7
892,792,83,4
935,68,693,35
107,505,574,77
366,926,341,70
721,791,990,41
30,479,543,93
266,386,869,68
949,357,154,17
669,600,782,42
845,548,609,70
27,273,993,6
904,526,839,92
705,830,279,4
797,49,521,10
138,551,553,93
75,597,45,79
852,676,555,18
651,277,99,39
237,762,220,44
78,234,899,3
311,736,398,37
40,384,678,65
360,592,800,64
963,780,862,41
851,789,460,74
582,964,764,37
873,959,772,47
975,34,108,61
258,448,501,87
968,583,770,39
655,945,703,67
967,286,186,7
53,199,231,19
379,861,111,56
105,314,394,36
704,746,535,64
7,37,159,11
211,926,376,51
238,645,415,38
977,970,632,51
976,471,724,29
175,486,893,48
522,973,709,68
687,419,205,64
287,191,276,15
760,743,79,94
44,475,273,10
943,772,858,72
949,77,376,48
681,332,306,95
158,396,774,48
490,779,804,92
208,39,755,81
170,500,643,10
158,413,607,4
574,738,296,99
679,893,676,88
333,274,65,83
428,35,83,37
81,425,600,73
803,194,615,51
962,414,376,28
769,164,794,21
13,707,488,3
65,78,144,69
189,943,318,65
419,429,33,37
202,696,952,66
178,655,627,23
394,665,360,34
527,342,660,23
368,914,233,42
504,451,97,60
670,180,243,57
148,707,887,93
405,10,535,30
227,598,811,31
230,902,440,17
38,113,602,59
631,279,580,97
802,697,881,71
692,435,598,51
558,868,951,56
536,413,905,24
788,746,808,9
832,222,110,86
994,101,717,25
827,805,358,78
29,648,542,71
292,521,307,1
914,683,122,89
128,267,643,9
476,967,611,39
979,641,417,6
325,435,37,67
21,30,549,50
22,707,596,55
483,56,343,34
395,647,262,48
960,184,227,87
540,577,505,2
358,205,989,9
453,730,45,9
480,733,605,46
15,914,883,35
61,177,928,91
780,911,440,88
1000,275,27,21
409,45,290,10
952,209,804,55
610,302,524,15
918,400,85,22
22,224,44,18
639,882,339,80
710,143,841,88
853,657,198,84
694,993,763,14
536,309,596,79
118,205,1,59
613,767,805,97
148,876,696,52
427,215,386,60
684,920,360,2
36,182,80,26
449,500,524,23
649,270,485,91
920,628,235,56
629,699,653,12
344,553,337,58
17,739,138,35
493,172,373,81
497,639,941,70
594,67,104,10
190,572,559,63
853,532,862,72
331,975,811,16
783,622,661,77
747,891,548,5
110,911,97,80
739,821,383,77
145,930,181,29
37,815,128,14
352,643,926,85
94,290,898,26
171,313,242,54
914,213,300,30
656,824,522,15
251,23,454,93
129,742,662,6
546,805,400,48
620,179,42,59
715,949,170,11
40,677,223,84
501,752,379,33
89,970,896,40
461,329,268,73
283,663,417,29
636,981,541,66
857,555,747,48
766,146,55,16
742,749,232,100
483,862,840,56
67,975,836,25
868,892,224,38
977,773,30,61
98,957,67,42
652,972,140,85
303,929,882,79
782,497,333,26
90,775,710,41
433,256,222,89
476,362,628,35
508,381,902,57
476,992,666,56
499,994,183,79
237,769,919,100
471,232,96,35
863,758,874,99
672,756,226,24
36,946,847,41
490,349,243,78
908,464,716,89
747,630,484,43
59,685,303,6
59,69,314,63
111,141,243,14
93,608,180,24
285,957,157,10
814,141,515,95
662,457,285,20
905,64,363,75
18,539,374,81
1,482,649,45
926,933,480,91
588,468,508,58
957,563,602,96
723,777,737,66
454,913,80,4
596,489,550,61
8,194,776,15
917,99,705,76
102,668,835,13
335,72,418,54
156,57,247,22
408,659,124,10
66,255,9,59
469,575,929,65
225,663,5,12
535,828,790,63
926,743,230,71
120,160,37,83
547,969,657,68
493,105,674,98
785,237,211,34
812,61,826,99
22,488,607,100
208,866,402,19
279,584,857,55
474,208,382,98
926,188,296,84
303,489,175,2
181,104,843,78
751,935,911,24
700,794,789,31
371,339,642,45
961,962,180,49
601,614,924,31
218,469,627,14
189,228,558,14
418,142,73,38
520,1,288,5
918,707,966,76
329,72,930,39
130,726,310,37
65,703,509,93
160,673,621,41
937,574,223,28
521,388,396,53
546,424,27,44
194,283,672,60
179,734,4,29
675,86,595,53
473,115,502,28
859,925,579,17
772,190,181,67
979,569,756,83
848,842,628,37
279,29,422,23
104,707,511,66
474,126,749,64
959,165,984,58
51,961,871,24
78,423,882,76
531,200,125,88
194,933,967,63
457,862,460,50
979,173,635,88
33,646,504,60
525,203,832,10
378,213,113,91
472,902,466,92
912,641,451,30
47,787,964,85
90,685,738,54
389,798,516,25
80,636,608,71
649,921,341,52
630,406,939,90
197,29,743,48
664,189,826,52
864,350,934,53
341,35,494,8
825,766,346,23
966,802,423,79
530,880,780,19
706,395,658,19
28,492,645,33
758,968,990,72
243,147,886,95
920,621,170,3
990,262,787,74
976,817,26,61
269,989,732,69
908,17,979,87
770,702,661,21
261,932,370,72
13,135,348,45
66,787,550,82
208,347,975,35
510,217,182,17
558,529,987,25
817,525,280,81
950,312,475,88
28,508,82,27
240,734,860,64
555,511,824,35
803,774,254,53
190,144,947,15
86,326,212,6
596,709,289,96
691,770,91,14
556,938,424,10
958,694,624,23
121,94,996,10
117,187,639,59
582,853,854,42
131,70,179,28
171,224,891,68
803,601,690,25
940,723,973,44
971,990,93,75
37,403,142,62
466,345,953,33
17,540,15,2
988,635,338,4
424,60,481,2
490,654,335,34
410,593,809,75
191,961,981,55
667,594,892,35
736,703,635,5
207,207,223,14
725,416,819,71
365,250,686,15
861,407,469,43
957,263,255,85
591,582,222,74
586,171,630,38
857,338,226,95
492,474,362,39
917,675,438,20
289,638,876,90
335,126,278,64
371,239,386,74
524,563,147,91
965,277,551,80
176,136,612,47
12,701,196,93
877,263,145,55
64,611,179,86
493,562,781,55
548,895,406,17
73,709,787,24
948,757,993,1
400,976,828,64
728,583,93,94
843,500,84,4
973,738,779,12
88,384,657,46
30,887,913,27
940,256,360,76
646,660,486,12
498,289,646,12
685,278,173,37
678,569,737,91
948,301,187,76
220,918,178,19
947,806,631,58
528,208,669,48
572,217,447,8
536,268,662,2
941,503,56,59
93,349,96,16
453,11,152,26
744,675,774,13
75,519,172,46
228,35,517,10
89,235,335,90
916,96,854,30
117,296,642,100
191,979,346,10
877,148,840,32
4,186,75,63
942,661,223,80
824,530,244,85
436,752,217,26
615,804,884,46
943,88,309,58
106,12,439,43
881,926,9,7
558,822,448,17
439,434,919,61
429,618,726,76
55,516,253,78
172,664,656,65
251,296,804,69
775,69,793,12
674,827,847,78
557,124,877,86
801,354,943,73
135,871,455,15
59,927,448,49
93,76,567,38
478,754,74,43
801,705,900,100
148,665,497,86
222,226,840,98
603,391,179,2
899,882,410,90
873,897,40,26
577,5,913,97
387,402,370,18
542,269,730,61
586,993,631,33
305,308,796,3
771,449,799,43
356,709,284,61
862,752,424,4
184,819,856,17
363,948,372,33
686,445,766,89
284,845,389,35
856,259,117,69
976,251,496,15
396,189,128,4
255,790,65,42
299,800,119,17
614,684,315,79
448,289,123,66
936,510,377,93
174,43,957,33
200,897,82,98
403,363,98,40
30,488,279,6
397,985,457,32
310,372,432,95
465,921,374,28
369,753,962,28
10,16,320,46
989,150,162,2
714,445,463,55
95,768,143,51
630,891,507,39
108,383,371,22
704,794,529,61
159,342,91,72
125,941,518,46
712,394,194,60
4,929,426,85
628,560,769,25
230,55,954,8
753,793,271,43
122,552,742,77
650,724,157,20
661,49,653,30
313,10,294,20
519,339,490,9
568,563,41,95
318,458,63,87
87,151,196,90
6,674,486,11
507,488,972,100
73,273,108,90
754,850,842,92
668,140,833,79
334,866,168,35
22,210,627,30
861,590,69,98
585,72,503,68
821,56,968,82
349,901,955,86
824,246,911,85
698,327,382,26
227,130,22,62
800,460,958,4
579,519,342,31
106,166,132,30
176,411,886,95
245,632,568,68
109,950,119,58
227,244,136,16
330,141,429,3
488,546,781,47
82,27,650,7
32,665,749,97
28,544,537,20
517,91,665,57
296,380,536,15
97,861,494,5
208,781,530,38
381,787,579,99
565,993,76,1
977,561,471,58
900,636,610,4
265,455,611,13
638,113,663,44
308,834,50,99
488,257,147,3
313,359,391,59
119,948,210,21
383,870,205,64
83,596,873,45
128,787,112,19
947,372,530,30
421,8,112,72
674,125,977,78
205,302,711,90
337,882,346,94
789,146,895,12
673,43,808,48
209,551,901,93
131,129,271,23
906,513,592,27
452,272,319,11
97,169,805,57
117,171,896,35
719,540,577,48
334,915,306,87
333,810,618,46
281,869,996,46
488,112,86,24
614,858,796,74
859,986,356,2
861,718,481,81
953,549,29,20
922,651,749,88
339,467,884,19
882,65,553,40
58,315,925,64
152,497,502,31
660,123,981,62
349,844,779,32
826,406,267,91
867,208,197,2
975,785,310,84
784,60,242,95
179,800,858,47
774,304,229,86
806,857,212,79
899,866,159,74
928,833,319,14
976,359,54,60
668,769,503,21
381,145,167,2
24,22,148,15
527,5,381,11
87,265,48,46
109,271,104,33
63,585,846,93
922,784,87,18
631,546,112,70
645,610,163,77
562,249,15,9
124,494,787,38
371,640,165,60
955,551,37,51
894,190,496,38
368,185,852,57
308,133,910,72
5,355,518,40
573,252,165,31
862,190,393,11
502,230,241,20
720,127,732,8
594,248,706,92
267,765,575,48
752,123,480,41
381,518,783,50
607,640,425,71
311,668,966,54
285,341,543,87
453,484,190,20
494,95,862,96
624,827,853,40
99,396,826,81
79,135,492,2
269,115,379,36
549,349,626,89
415,3,272,22
328,790,691,2
242,521,796,60
77,101,365,44
497,764,798,29
92,879,243,95
28,331,751,58
698,429,982,18
825,693,966,21
115,915,930,45
484,106,772,63
443,935,722,40
841,168,30,31
453,945,203,60
425,376,329,82
861,104,511,8
790,94,209,37
918,302,270,13
669,319,942,98
277,537,321,84
177,165,83,84
132,713,100,11
362,629,992,69
603,440,255,5
918,35,44,57
229,655,877,17
944,7,33,67
615,875,151,37
235,475,46,98
39,757,911,100
739,390,497,20
658,5,661,43
737,956,247,40
456,984,541,75
120,626,172,37
971,653,33,83
602,220,11,58
898,348,76,65
646,60,875,45
254,761,796,34
951,633,649,71
7,110,617,10
686,454,769,79
787,815,451,78
145,106,251,28
729,572,915,69
851,848,607,1
236,774,860,3
460,173,546,54
75,309,621,16
219,905,667,59
959,43,780,72
404,104,763,29
721,313,2,24
158,70,832,13
20,45,130,51
749,528,236,57
309,114,714,63
147,819,935,72
878,756,636,78
998,584,832,68
299,695,15,9
817,34,413,94
813,22,446,72
60,921,625,85
951,704,707,9
688,978,991,42
180,678,690,24
117,638,447,15
39,722,764,50
820,490,124,31
992,340,564,29
699,157,350,31
101,994,753,60
85,378,671,12
544,517,450,93
943,314,613,53
761,895,676,33
30,959,698,10
201,193,550,67
708,269,190,67
12,794,607,72
851,732,493,54
24,480,712,76
518,224,55,83
171,569,431,15
687,908,823,25
564,41,9,81
947,160,487,55
339,205,920,57
423,821,598,48
388,774,432,19
781,905,359,52
457,131,407,80
62,766,921,3
338,81,751,100
112,293,587,47
98,662,318,11
442,189,475,38
681,77,307,94
772,617,608,20
186,849,118,35
456,1000,117,22
318,710,681,23
486,505,884,98
973,54,549,1
819,180,959,54
75,217,926,41
261,989,757,27
170,177,425,96
106,769,591,66
999,310,319,89
